phi,theta,xValue,yValue,zValue,FILE
22,150,832,166,832,images/241.jpg
22,150,832,499,832,images/242.jpg
22,150,832,832,832,images/243.jpg
33,30,166,166,166,images/244.jpg
33,30,166,499,166,images/245.jpg
33,30,166,832,166,images/246.jpg
33,90,166,166,166,images/247.jpg
33,90,166,499,166,images/248.jpg
33,90,166,832,166,images/249.jpg
33,150,166,166,166,images/250.jpg
33,150,166,499,166,images/251.jpg
33,150,166,832,166,images/252.jpg
33,30,166,166,499,images/253.jpg
33,30,166,499,499,images/254.jpg
33,30,166,832,499,images/255.jpg
33,90,166,166,499,images/256.jpg
33,90,166,499,499,images/257.jpg
33,90,166,832,499,images/258.jpg
33,150,166,166,499,images/259.jpg
33,150,166,499,499,images/260.jpg
33,150,166,832,499,images/261.jpg
33,30,166,166,832,images/262.jpg
33,30,166,499,832,images/263.jpg
33,30,166,832,832,images/264.jpg
33,90,166,166,832,images/265.jpg
33,90,166,499,832,images/266.jpg
33,90,166,832,832,images/267.jpg
33,150,166,166,832,images/268.jpg
33,150,166,499,832,images/269.jpg
33,150,166,832,832,images/270.jpg
33,30,499,166,166,images/271.jpg
33,30,499,499,166,images/272.jpg
33,30,499,832,166,images/273.jpg
33,90,499,166,166,images/274.jpg
33,90,499,499,166,images/275.jpg
33,90,499,832,166,images/276.jpg
33,150,499,166,166,images/277.jpg
33,150,499,499,166,images/278.jpg
33,150,499,832,166,images/279.jpg
33,30,499,166,499,images/280.jpg
33,30,499,499,499,images/281.jpg
33,30,499,832,499,images/282.jpg
33,90,499,166,499,images/283.jpg
33,90,499,499,499,images/284.jpg
33,90,499,832,499,images/285.jpg
33,150,499,166,499,images/286.jpg
33,150,499,499,499,images/287.jpg
33,150,499,832,499,images/288.jpg
33,30,499,166,832,images/289.jpg
33,30,499,499,832,images/290.jpg
33,30,499,832,832,images/291.jpg
33,90,499,166,832,images/292.jpg
33,90,499,499,832,images/293.jpg
33,90,499,832,832,images/294.jpg
33,150,499,166,832,images/295.jpg
33,150,499,499,832,images/296.jpg
33,150,499,832,832,images/297.jpg
33,30,832,166,166,images/298.jpg
33,30,832,499,166,images/299.jpg
33,30,832,832,166,images/300.jpg
33,90,832,166,166,images/301.jpg
33,90,832,499,166,images/302.jpg
33,90,832,832,166,images/303.jpg
33,150,832,166,166,images/304.jpg
33,150,832,499,166,images/305.jpg
33,150,832,832,166,images/306.jpg
33,30,832,166,499,images/307.jpg
33,30,832,499,499,images/308.jpg
33,30,832,832,499,images/309.jpg
33,90,832,166,499,images/310.jpg
33,90,832,499,499,images/311.jpg
33,90,832,832,499,images/312.jpg
33,150,832,166,499,images/313.jpg
33,150,832,499,499,images/314.jpg
33,150,832,832,499,images/315.jpg
33,30,832,166,832,images/316.jpg
33,30,832,499,832,images/317.jpg
33,30,832,832,832,images/318.jpg
33,90,832,166,832,images/319.jpg
33,90,832,499,832,images/320.jpg
33,90,832,832,832,images/321.jpg
33,150,832,166,832,images/322.jpg
33,150,832,499,832,images/323.jpg
33,150,832,832,832,images/324.jpg
44,30,166,166,166,images/325.jpg
44,30,166,499,166,images/326.jpg
44,30,166,832,166,images/327.jpg
44,90,166,166,166,images/328.jpg
44,90,166,499,166,images/329.jpg
44,90,166,832,166,images/330.jpg
44,150,166,166,166,images/331.jpg
44,150,166,499,166,images/332.jpg
44,150,166,832,166,images/333.jpg
44,30,166,166,499,images/334.jpg
44,30,166,499,499,images/335.jpg
44,30,166,832,499,images/336.jpg
44,90,166,166,499,images/337.jpg
44,90,166,499,499,images/338.jpg
44,90,166,832,499,images/339.jpg
44,150,166,166,499,images/340.jpg
44,150,166,499,499,images/341.jpg
44,150,166,832,499,images/342.jpg
44,30,166,166,832,images/343.jpg
44,30,166,499,832,images/344.jpg
44,30,166,832,832,images/345.jpg
44,90,166,166,832,images/346.jpg
44,90,166,499,832,images/347.jpg
44,90,166,832,832,images/348.jpg
44,150,166,166,832,images/349.jpg
44,150,166,499,832,images/350.jpg
44,150,166,832,832,images/351.jpg
44,30,499,166,166,images/352.jpg
44,30,499,499,166,images/353.jpg
44,30,499,832,166,images/354.jpg
44,90,499,166,166,images/355.jpg
44,90,499,499,166,images/356.jpg
44,90,499,832,166,images/357.jpg
44,150,499,166,166,images/358.jpg
44,150,499,499,166,images/359.jpg
44,150,499,832,166,images/360.jpg
44,30,499,166,499,images/361.jpg
44,30,499,499,499,images/362.jpg
